Undergraduates	2149	3.770	43.1 16.8 3.0 0.6 0.0 0.0	0.0	0.6	.	35.7	.	.	0.0 0.0	.  .
Special	17	3.744	64.7 23.5 11.8 .  .  .	.	.	.	.	.	.	.  .	.  .
Graduate	298	3.981	85.6 2.7 0.3 .  .  .	.	8.7	.	.	.	1.7	0.7 .	0.3 .
Prof Yr 4	2	***					.	.	.	.  .	.  .
Professionals	2	4.000	100.0 .  .  .  .  .	.	.	.	.	.	.	.  .	.  .
College Total	2466	3.805	48.5 15.1 2.7 0.5 0.0 0.0	0.0	1.5	.	31.1	.	0.2	0.1 0.0	0.0 .
August 24, 2020											Page 427 of 447
* Please note: This report does not combine crosslisted courses											
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.											
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"											
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
PHM													
CHEMISTRY Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
224 CHEM	Grades	GPA											
Chemistry-Biology Interface 890 001	17	4.000	100.0 .....	.		.	.	.	.	.	.	.	..
224 CHEM Dept. Total	17	4.000	100.0 .  .  .  .  .		.	.	.	.	.	.		.  .	.  .
Summary by Level	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA224 CHEM	Grades												
Graduate	16	4.000	100.0 .  .  .  .  .		.	.	.	.	.	.		.  .	.  .
Prof Yr 4	1	***						.	.	.		.  .	.  .
Professionals	1	***						.	.	.		.  .	.  .
Dept. Total	17	4.000	100.0 .  .  .  .  .		.	.	.	.	.	.		.  .	.  .
August 24, 2020													Page 428 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
PHM														
PHARMACEUTICAL SCIENCES Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
718 PHM SCI Grades		GPA												
Drugs and Their Actions 310 001	178	3.868	80.9 8.4 5.6 .0.6 0.6	.		3.9	.	.	.	.		.	.	..
Biopharm & Pharmacokinetics 421 001	127	3.286	20.5 29.9 36.2 11.0 1.6 .	.		0.8	.	.	.	.		.	.	..
Biol Interactions w/ Materials 430 001	1	***						.	.	.		.	.	..
Pharmacology II 522 001	151	3.880	86.8 4.0 6.6 1.3 0.7 .	.		0.7	.	.	.	.		.	.	..
Medicinal Chemistry I 531 001	131	3.557	46.6 23.7 25.2 3.8 0.8 .	.		.	.	.	.	.		.	.	..
Medicinal Chemistry II 532 001	134	3.654	55.2 22.4 18.7 3.0 ..	.		0.7	.	.	.	.		.	.	..
Pharm Calc & Compounding 541 001	127	3.858	79.5 13.4 6.3 0.8 ..	.		.	.	.	.	.		.	.	..
Toxicology II 626 001	12	3.455	16.7 50.0 25.0 ...	.		8.3	.	.	.	.		.	.	..
Pharmacol & Toxicology Seminar 679 001	45	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
699 016	2	***						.	.	.		.	.	..
699 017	1	***						.	.	.		.	.	..
699 021	2	***						.	.	.		.	.	..
699 035	1	***						.	.	.		.	.	..
699 049	1	***						.	.	.		.	.	..
699 050	2	***						.	.	.		.	.	..
699 061	2	***						.	.	.		.	.	..
699 084	3	***						.	.	.		.	.	..
699 085	2	***						.	.	.		.	.	..
699 092	7	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
699 098	8	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Advanced Independent Study Course Total	31	4.000	100.0 .  .  .  .  .		.	.	.	.	.		.		.  .	.  .
Polymeric Drug Delivery 775 001	7	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
932 001	20		......	.		.	.	100.0	.	.		.	.	..
932 002	17		......	.		.	.	100.0	.	.		.	.	..
932 003	23		......	.		.	.	100.0	.	.		.	.	..
Pharmaceutical Sci Seminar Course Total	60		.  .  .  .  .  .		.	.	.	100.0	.		.		.  .	.  .
990 010	1	***						.	.	.		.	.	..
990 016	7		......	.		100.0	.	.	.	.		.	.	..
990 017	5	***						.	.	.		.	.	..
990 021	3	***						.	.	.		.	.	..
990 025	1	***						.	.	.		.	.	..
990 030	1	***						.	.	.		.	.	..
990 033	1	***						.	.	.		.	.	..
990 035	4	***						.	.	.		.	.	..
990 040	1	***						.	.	.		.	.	..
990 049	7		......	.		100.0	.	.	.	.		.	.	..
990 050	1	***						.	.	.		.	.	..
990 061	1	***						.	.	.		.	.	..
990 077	2	***						.	.	.		.	.	..
990 082	3	***						.	.	.		.	.	..
990 084	2	***						.	.	.		.	.	..
990 085	2	***						.	.	.		.	.	..
August 24, 2020														Page 429 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
PHM													
PHARMACEUTICAL SCIENCES Section #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
718 PHM SCI Grades		GPA											
990 090 8			......	.		100.0	.	.	.	.	.	.	..
990 091 3		***						.	.	.	.	.	..
990 092 2		***						.	.	.	.	.	..
990 095 2		***						.	.	.	.	.	..
990 096 1		***						.	.	.	.	.	..
990 098 4		***						.	.	.	.	.	..
990 099 2		***						.	.	.	.	.	..
Research Course Total 64			.  .  .  .  .  .		.	92.2	.	.	.	7.8		.  .	.  .
718 PHM SCI Dept. Total 1068		3.702	58.3 13.4 12.6 2.4 0.5 0.1		.	6.6	.	5.6	.	0.5		.  .	.  .
Summary by Level #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA718 PHM SCIGrades													
Freshmen 4		***						.	.	.		.  .	.  .
Sophomore 58		3.922	87.9 8.6 3.4 .  .  .		.	.	.	.	.	.		.  .	.  .
Junior 51		3.882	80.4 5.9 3.9 .  2.0 .		.	7.8	.	.	.	.		.  .	.  .
Senior 165		3.845	81.8 8.5 6.1 .  .  0.6		.	3.0	.	.	.	.		.  .	.  .
Undergraduates 278		3.867	82.7 7.9 5.4 .  0.4 0.4		.	3.2	.	.	.	.		.  .	.  .
Graduate 136		3.839	7.4 0.7 0.7 .  .  .		.	43.4	.	44.1	.	3.7		.  .	.  .
Prof Yr 1 381		3.567	48.8 22.3 22.6 5.2 0.8 .		.	0.3	.	.	.	.		.  .	.  .
Prof Yr 2 270		3.801	72.6 12.6 12.2 1.9 0.4 .		.	0.4	.	.	.	.		.  .	.  .
Prof Yr 3 4		***						.	.	.		.  .	.  .
Professionals 655		3.652	58.6 18.3 18.2 4.0 0.6 .		.	0.3	.	.	.	.		.  .	.  .
Dept. Total 1069		3.702	58.4 13.4 12.6 2.4 0.5 0.1		.	6.5	.	5.6	.	0.5		.  .	.  .
August 24, 2020													Page 430 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
PHM													
PHARMACY Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
726 PHARMACY	Grades	GPA											
Exploring Pharmacy I 125 001	24	4.000	100.0 .....	.		.	.	.	.	.	.	.	..
Exploring Pharmacy II 126 001	44	4.000	100.0 .....	.		.	.	.	.	.	.	.	..
Selected Topics in Pharmacy 490 001	13	4.000	100.0 .....	.		.	.	.	.	.	.	.	..
Appropriate Use of Abused Drug 640 001	46	3.663	56.5 21.7 19.6 2.2 ..	.		.	.	.	.	.	.	.	..
726 PHARMACY Dept. Total	127	3.852	84.3 7.9 7.1 0.8 .  .		.	.	.	.	.	.		.  .	.  .
Summary by Level	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA726 PHARMACY	Grades												
Freshmen	12	4.000	100.0 .  .  .  .  .		.	.	.	.	.	.		.  .	.  .
Sophomore	43	4.000	100.0 .  .  .  .  .		.	.	.	.	.	.		.  .	.  .
Junior	13	4.000	100.0 .  .  .  .  .		.	.	.	.	.	.		.  .	.  .
Undergraduates	68	4.000	100.0 .  .  .  .  .		.	.	.	.	.	.		.  .	.  .
Prof Yr 2	14	3.571	57.1 7.1 28.6 7.1 .  .		.	.	.	.	.	.		.  .	.  .
Prof Yr 3	45	3.789	68.9 20.0 11.1 .  .  .		.	.	.	.	.	.		.  .	.  .
Professionals	59	3.737	66.1 16.9 15.3 1.7 .  .		.	.	.	.	.	.		.  .	.  .
Dept. Total	127	3.852	84.3 7.9 7.1 0.8 .  .		.	.	.	.	.	.		.  .	.  .
August 24, 2020													Page 431 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
PHM														
PHARMACY PRACTICE Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
728 PHM PRAC Grades		GPA												
Pharm Practice Experience II 426 001	127	3.969	23.6 1.6 ....	.		.	.	.	.	.		74.8	.	..
Prof Develop & Engagement I 462 001	127		......	.		.	.	100.0	.	.		.	.	..
Prof Develop & Engagement III 464 001	135		......	.		.	.	100.0	.	.		.	.	..
Prof Develop & Engagement IV 465 001	139		......	.		.	.	100.0	.	.		.	.	..
Interprof Collab Pract in HIV 467 001	24		......	.		.	.	100.0	.	.		.	.	..
Intro to Pharmacy Informatics 468 001	24	3.979	95.8 4.2 ....	.		.	.	.	.	.		.	.	..
490 001	43	3.930	86.0 14.0 ....	.		.	.	.	.	.		.	.	..
490 002	42	3.881	78.6 19.0 2.4 ...	.		.	.	.	.	.		.	.	..
490 003	35	3.929	88.6 8.6 2.9 ...	.		.	.	.	.	.		.	.	..
490 004	9	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
490 005	15	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
490 008	64	4.000	98.4 .....	.		1.6	.	.	.	.		.	.	..
490 014	3	***						.	.	.		.	.	..
Select Topics-Pharmacy Prac Course Total	211	3.942	90.5 8.1 0.9 .  .  .		.	0.5	.	.	.		.		.  .	.  .
Intro-Phm Prac Experience IV 526 001	134	3.989	97.8 2.2 ....	.		.	.	.	.	.		.	.	..
Pharmacotherapy Skills II 554 001	135	3.844	72.6 23.7 3.7 ...	.		.	.	.	.	.		.	.	..
Pharmacotherapy II 556 001	136	3.585	46.3 31.6 16.2 3.7 0.7 0.7	.		0.7	.	.	.	.		.	.	..
Intro: Antimicrobial Therapy 559 002	56		......	.		.	.	100.0	.	.		.	.	..
Drug Literature Evaluation 570 001	135	3.552	33.3 45.9 17.0 3.0 ..	.		0.7	.	.	.	.		.	.	..
Phrmcotherpeut-Adv Prac Nurses 605 001	1	***						.	.	.		.	.	..
Radiopharmaceuticals 612 001	7	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Intro - Phm Prac Experience VI 626 056	139	3.978	95.7 4.3 ....	.		.	.	.	.	.		.	.	..
Practice Innovation II 629 001	16	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Comprehnsv Immunizatn Delivery 650 001	136	3.611	48.5 30.9 14.7 3.7 1.5 .	.		0.7	.	.	.	.		.	.	..
Pharmacotherapy Skills IV 654 001	140	3.714	58.6 27.1 12.9 1.4 ..	.		.	.	.	.	.		.	.	..
Pharmacotherapy IV 656 001	141	3.585	44.0 36.9 12.1 6.4 0.7 .	.		.	.	.	.	.		.	.	..
Sem Pediatric Pharmacotherapy 657 001	27	3.981	96.3 3.7 ....	.		.	.	.	.	.		.	.	..
Seminars in Critical Care 668 001	24	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Veterinary Therapeutics 670 001	14	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Seminar:Global Health Pharmacy 673 001	8		......	.		.	.	100.0	.	.		.	.	..
Seminars in Mental Health Care 674 001	23	3.891	82.6 13.0 4.3 ...	.		.	.	.	.	.		.	.	..
Seminars in Oncology 678 002	20	3.975	95.0 5.0 ....	.		.	.	.	.	.		.	.	..
Advanced Diabetes Management 679 001	12	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
699 014	2	***						.	.	.		.	.	..
699 015	2	***						.	.	.		.	.	..
699 025	4	***						.	.	.		.	.	..
699 053	4	***						.	.	.		.	.	..
699 054	1	***						.	.	.		.	.	..
699 057	1	***						.	.	.		.	.	..
699 067	3	***						.	.	.		.	.	..
August 24, 2020														Page 432 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
PHM														
PHARMACY PRACTICE Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
728 PHM PRAC Grades		GPA												
699 072	5	***						.	.	.		.	.	..
699 085	4	***						.	.	.		.	.	..
699 090	1	***						.	.	.		.	.	..
699 091	1	***						.	.	.		.	.	..
699 093	15	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Advanced Independent Study Course Total	43	4.000	100.0 .  .  .  .  .		.	.	.	.	.		.		.  .	.  .
Geriatric Pharmacy Practice 710 001	9	3.944	88.9 11.1 ....	.		.	.	.	.	.		.	.	..
740 006	14	3.714	78.6 .7.1 14.3 ..	.		.	.	.	.	.		.	.	..
740 007	23	3.870	78.3 17.4 4.3 ...	.		.	.	.	.	.		.	.	..
740 008	7	3.929	85.7 14.3 ....	.		.	.	.	.	.		.	.	..
Acute Pharmaceut Care Clerkshp Course Total	44	3.824	79.5 11.4 4.5 4.5 .  .		.	.	.	.	.		.		.  .	.  .
741 006	18	3.917	83.3 16.7 ....	.		.	.	.	.	.		.	.	..
741 007	10	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
741 008	23	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
741 014	1	***						.	.	.		.	.	..
741 172	1	***						.	.	.		.	.	..
741 214	1	***						.	.	.		.	.	..
Ambulatry Phmceut Care Clrk Course Total	54	3.967	94.4 5.6 .  .  .  .		.	.	.	.	.		.		.  .	.  .
742 006	20	3.900	90.0 5.0 .5.0 ..	.		.	.	.	.	.		.	.	..
742 007	7	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
742 008	23	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Health-system Pharm Clerkship Course Total	50	3.953	96.0 2.0 .  2.0 .  .		.	.	.	.	.		.		.  .	.  .
743 006	7	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
743 007	24	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
743 008	8	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Community Pharmarcy Practice Course Total	39	4.000	100.0 .  .  .  .  .		.	.	.	.	.		.		.  .	.  .
746 001	4	***						.	.	.		.	.	..
746 002	1	***						.	.	.		.	.	..
Intrdis Care-Chld/Spec Hlth Nd Course Total	5	***												
760 006	60	3.875	85.0 6.7 6.7 1.7 ..	.		.	.	.	.	.		.	.	..
760 007	60	3.850	83.3 8.3 5.0 1.7 1.7 .	.		.	.	.	.	.		.	.	..
760 008	7	3.786	85.7 ..14.3 ..	.		.	.	.	.	.		.	.	..
760 015	1	***						.	.	.		.	.	..
760 018	1	***						.	.	.		.	.	..
760 052	1	***						.	.	.		.	.	..
760 085	2	***						.	.	.		.	.	..
760 093	1	***						.	.	.		.	.	..
760 115	2	***						.	.	.		.	.	..
760 152	1	***						.	.	.		.	.	..
760 180	2	***						.	.	.		.	.	..
760 185	1	***						.	.	.		.	.	..
760 193	1	***						.	.	.		.	.	..
August 24, 2020														Page 433 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
PHM														
PHARMACY PRACTICE Section #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
728 PHM PRAC Grades		GPA												
760 215 1		***						.	.	.		.	.	..
760 280 2		***						.	.	.		.	.	..
Elective Pharm Pract Clkshp Course Total 143		3.868	84.6 7.7 4.9 2.1 0.7 .		.	.	.	.	.	.			.  .	.  .
769 025 1		***						.	.	.		.	.	..
769 072 1		***						.	.	.		.	.	..
Clin Rsrch & Pharm Investig Course Total 2		***												
Grad Sem Hlth-System Pharmacy 962 001 9		4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Advanced Independent Study 999 028 9		4.000	100.0 .....	.		.	.	.	.	.		.	.	..
728 PHM PRAC Dept. Total 2498		3.817	57.3 13.0 4.7 1.2 0.2 0.0		.	0.2	.	19.6	.	.		3.8	.	.  .
Summary by Level #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
GPA728 PHM PRACGrades														
Junior 2		***						.	.	.			.  .	.  .
Senior 7		4.000	14.3 .  .  .  .  .		.	.	.	85.7	.	.			.  .	.  .
Undergraduates 9		4.000	33.3 .  .  .  .  .		.	.	.	66.7	.	.			.  .	.  .
Special 4		***						.	.	.			.  .	.  .
Graduate 29		4.000	79.3 .  .  .  .  .		.	.	.	20.7	.	.			.  .	.  .
Prof Yr 1 360		3.992	32.8 0.6 .  .  .  .		.	0.3	.	40.0	.	.		26.4	.	.  .
Prof Yr 2 884		3.661	48.0 20.5 7.7 1.6 0.3 0.1		.	0.3	.	21.5	.	.			.  .	.  .
Prof Yr 3 792		3.806	62.2 13.3 4.9 1.4 0.1 .		.	.	.	18.1	.	.			.  .	.  .
Prof Yr 4 420		3.904	87.4 8.6 2.4 1.4 0.2 .		.	.	.	.	.	.			.  .	.  .
Professionals 2456		3.815	57.1 13.2 4.8 1.3 0.2 0.0		.	0.2	.	19.4	.	.		3.9	.	.  .
Dept. Total 2498		3.817	57.3 13.0 4.7 1.2 0.2 0.0		.	0.2	.	19.6	.	.		3.8	.	.  .
August 24, 2020														Page 434 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204		Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020		University of Wisconsin - Madison											
""		(Non-Cross Listed)											
PHM													
SOCIAL & ADMINISTRATIVE PHA Section #	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
732 S&A PHM Grades	GPA												
Health Care: Intrdis Appr 105 001 16	3.688	62.5 18.8 12.5 6.3 ..	.		.	.	.	.	.		.	.	..
History of Pharmacy 401 001 6	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Soc Behav Aspects 414 001 127	3.841	74.8 18.1 5.5 0.8 ..	.		0.8	.	.	.	.		.	.	..
Pharmacy Management 514 001 135	3.889	78.5 20.7 0.7 ...	.		.	.	.	.	.		.	.	..
Pharmacy Law and Regulation 611 001 134	3.765	67.9 17.9 13.4 0.7 ..	.		.	.	.	.	.		.	.	..
Pharm Communicatn:Edu&Behav 652 001 140	3.964	93.6 5.7 0.7 ...	.		.	.	.	.	.		.	.	..
699 024 1	***						.	.	.		.	.	..
699 025 1	***						.	.	.		.	.	..
699 065 2	***						.	.	.		.	.	..
699 093 7	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
699 094 6	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Advanced Independent Study Course Total 17	4.000	100.0 .  .  .  .  .		.	.	.	.	.		.		.  .	.  .
Soc Behav Theories in Pharm 715 001 6	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Adv Hospital Phm Admin 716 001 4	***						.	.	.		.	.	..
Research Seminar in SAS 911 001 7	4.000	85.7 .....	.		.	14.3	.	.	.		.	.	..
990 025 3	***						.	.	.		.	.	..
990 065 2	***						.	.	.		.	.	..
990 079 2	***						.	.	.		.	.	..
990 081 2	***						.	.	.		.	.	..
990 093 2	***						.	.	.		.	.	..
990 094 1	***						.	.	.		.	.	..
Research Course Total 12		.  .  .  .  .  .		.	100.0	.	.	.		.		.  .	.  .
999 025 6	4.000	83.3 .....	.		.	16.7	.	.	.		.	.	..
999 079 5	***						.	.	.		.	.	..
999 095 1	***						.	.	.		.	.	..
Advanced Independent Study Course Total 12	4.000	91.7 .  .  .  .  .		.	.	8.3	.	.		.		.  .	.  .
August 24, 2020													Page 435 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204		Percentage Distribution of Grades									Office of the Registrar	
